2,3
3,10
4,4
5,18
6,30
7,79
8,16
9,16
10,29
11,20
12,29
13,52
14,78
15,44
16,88
17,164
18,179
19,79
20,190
21,279
22,262
23,67
24,201
25,220
26,198
27,90
28,187
29,291
30,154
31,209
32,307
33,343
34,165
35,296
36,437
37,508
38,177
39,454
40,662
41,682
42,321
43,728
44,950
45,842
46,471
47,1113
48,1503
49,1206
50,785
51,1720
52,2208
53,1188
54,1585
55,2405
56,2700
57,1165
58,2221
59,3158
60,2814
61,1298
62,2774
63,3677
64,2848
65,1482
66,3233
67,3866
68,2159
69,1981
70,3661
71,3780
72,1626
73,2292
74,3615
75,3097
76,1505
77,2557
78,3298
79,2150
80,1687
81,2364
82,2838
83,1529
84,1493
85,2302
86,2502
87,1174
88,1465
89,2137
90,2196
91,795
92,1327
93,1976
94,1540
95,806
96,1324
97,1576
98,1062
99,750
100,1112
101,1257
102,746
103,693
104,1182
105,1431
106,598
107,1082
108,1649
109,1913
110,808
111,1438
112,2298
113,2167
114,1144
115,2323
116,3378
117,2345
118,2171
119,3384
120,4071
121,1954
122,2233
123,2375
124,2566
125,1330
126,1431
127,2072
171293
